Month,Date,Time,Height(m),Time,Height(m),Time,Height(m),Time,Height(m)
04,19,0149,0.57,0902,1.69,1336,1.33,1923,1.96
04,20,0224,0.59,0900,1.76,1420,1.13,2012,1.97
04,21,0253,0.64,0905,1.86,1458,0.94,2058,1.96
04,22,0318,0.70,0918,1.99,1535,0.77,2143,1.93
04,23,0339,0.78,0934,2.12,1611,0.63,2227,1.88
04,24,0400,0.86,0953,2.25,1647,0.52,2311,1.82
04,25,0421,0.94,1015,2.36,1724,0.44,2356,1.73
04,26,0444,1.03,1040,2.45,1805,0.40,,
04,27,0045,1.64,0508,1.13,1108,2.49,1850,0.39
04,28,0140,1.53,0530,1.23,1140,2.50,1943,0.41
04,29,0246,1.45,0548,1.33,1218,2.45,2044,0.43
04,30,1306,2.37,2150,0.45,,,,
05,01,1414,2.26,2259,0.46,,,,
05,02,1558,2.18,,,,,,
05,03,0006,0.46,0756,1.70,1146,1.44,1732,2.16
05,04,0101,0.47,0814,1.80,1259,1.18,1848,2.15
05,05,0145,0.52,0830,1.95,1400,0.88,1954,2.12
05,06,0223,0.61,0846,2.13,1455,0.60,2057,2.05
05,07,0257,0.72,0906,2.32,1548,0.38,2203,1.95
05,08,0328,0.85,0932,2.50,1642,0.23,2308,1.83
05,09,0400,0.98,1003,2.61,1735,0.16,,
05,10,0006,1.71,0426,1.10,1036,2.65,1827,0.16
05,11,0059,1.59,0453,1.21,1110,2.62,1919,0.22
05,12,0153,1.50,0518,1.30,1147,2.52,2011,0.30
05,13,0255,1.43,0533,1.38,1226,2.38,2105,0.40
05,14,1313,2.21,2202,0.49,,,,
05,15,1418,2.04,2301,0.56,,,,
05,16,1553,1.89,2355,0.63,,,,
05,17,0743,1.66,1200,1.46,1728,1.79,,
05,18,0041,0.69,0741,1.75,1310,1.27,1845,1.74
05,19,0118,0.75,0753,1.86,1359,1.06,1946,1.70
05,20,0149,0.82,0808,2.00,1442,0.85,2042,1.67
05,21,0215,0.90,0825,2.15,1522,0.67,2136,1.65
05,22,0240,0.97,0845,2.30,1602,0.51,2229,1.63
05,23,0307,1.04,0910,2.44,1642,0.38,2319,1.61
05,24,0335,1.11,0938,2.55,1723,0.30,,
05,25,0008,1.57,0404,1.17,1011,2.62,1808,0.25
05,26,0057,1.53,0435,1.24,1047,2.64,1856,0.24
05,27,0149,1.49,0508,1.30,1128,2.61,1946,0.26
05,28,0248,1.47,0548,1.36,1214,2.53,2038,0.29
05,29,0404,1.48,0642,1.43,1309,2.41,2131,0.35
05,30,0534,1.55,0805,1.47,1417,2.26,2225,0.43
05,31,0616,1.65,1005,1.41,1549,2.11,2318,0.52
06,01,0646,1.77,1132,1.23,1716,1.97,,
06,02,0007,0.63,0710,1.92,1247,0.98,1836,1.85
06,03,0051,0.75,0732,2.10,1352,0.71,1954,1.74
06,04,0131,0.88,0756,2.30,1453,0.46,2113,1.66
06,05,0208,1.00,0824,2.48,1550,0.27,2225,1.60
06,06,0243,1.10,0857,2.61,1644,0.15,2322,1.56
06,07,0317,1.18,0933,2.67,1735,0.10,,
06,08,0010,1.53,0350,1.23,1012,2.66,1823,0.12
06,09,0055,1.49,0424,1.27,1051,2.59,1908,0.17
06,10,0140,1.47,0500,1.31,1131,2.49,1952,0.26
06,11,0227,1.45,0538,1.35,1212,2.35,2034,0.36
06,12,0321,1.46,0625,1.39,1255,2.20,2116,0.47
06,13,0425,1.50,0730,1.43,1343,2.02,2157,0.58
06,14,0520,1.57,0909,1.44,1447,1.83,2238,0.69
06,15,0556,1.67,1055,1.36,1606,1.65,2318,0.81
06,16,0623,1.79,1231,1.20,1749,1.51,2356,0.91
06,17,0645,1.93,1335,0.99,1926,1.45,,
06,18,0031,1.00,0705,2.09,1425,0.78,2037,1.43
06,19,0107,1.08,0730,2.25,1511,0.58,2141,1.45
06,20,0142,1.14,0800,2.41,1555,0.41,2236,1.47
06,21,0219,1.19,0834,2.55,1639,0.28,2323,1.49
06,22,0258,1.22,0913,2.65,1723,0.19,,
06,23,0008,1.51,0339,1.24,0955,2.71,1807,0.14
06,24,0051,1.51,0423,1.25,1039,2.72,1851,0.14
06,25,0135,1.51,0511,1.25,1127,2.67,1933,0.18
06,26,0221,1.53,0604,1.26,1217,2.56,2016,0.26
06,27,0308,1.57,0706,1.26,1311,2.40,2058,0.37
06,28,0357,1.65,0826,1.24,1415,2.18,2141,0.52
06,29,0445,1.76,0954,1.16,1535,1.93,2225,0.69
06,30,0529,1.90,1117,1.02,1703,1.69,2309,0.87
07,01,0606,2.06,1238,0.82,1843,1.52,2354,1.03
07,02,0641,2.23,1354,0.59,2032,1.44,,
07,03,0038,1.16,0716,2.39,1459,0.38,2152,1.44
07,04,0123,1.24,0754,2.51,1554,0.22,2245,1.46
07,05,0207,1.28,0835,2.59,1644,0.14,2326,1.47
07,06,0250,1.28,0917,2.62,1728,0.12,,
07,07,0001,1.48,0334,1.27,1000,2.60,1809,0.15
07,08,0035,1.50,0416,1.25,1041,2.54,1847,0.21
07,09,0108,1.51,0459,1.23,1120,2.46,1921,0.30
07,10,0141,1.53,0543,1.23,1158,2.33,1953,0.41
07,11,0214,1.56,0631,1.24,1235,2.18,2022,0.53
07,12,0247,1.61,0726,1.26,1313,1.99,2050,0.67
07,13,0320,1.68,0834,1.27,1357,1.77,2118,0.81
07,14,0356,1.77,0955,1.23,1504,1.54,2149,0.94
07,15,0434,1.88,1134,1.12,1651,1.36,2225,1.07
07,16,0515,2.01,1308,0.94,1930,1.31,2307,1.18
07,17,0557,2.16,1410,0.72,2100,1.35,2357,1.27
07,18,0640,2.32,1501,0.52,2158,1.42,,
07,19,0053,1.31,0725,2.47,1547,0.35,2239,1.48
07,20,0148,1.32,0811,2.61,1630,0.22,2315,1.52
07,21,0242,1.29,0859,2.72,1711,0.14,2350,1.56
07,22,0334,1.23,0947,2.78,1751,0.12,,
07,23,0026,1.59,0425,1.16,1036,2.78,1828,0.15
07,24,0101,1.64,0517,1.09,1126,2.70,1904,0.24
07,25,0137,1.70,0611,1.04,1217,2.55,1938,0.38
07,26,0214,1.79,0711,1.01,1309,2.32,2011,0.55
07,27,0253,1.88,0823,0.99,1409,2.02,2044,0.75
07,28,0333,1.99,0941,0.95,1528,1.71,2116,0.96
07,29,0418,2.10,1104,0.87,1714,1.44,2147,1.16
07,30,0507,2.21,1240,0.71,,,,
07,31,0600,2.31,1403,0.52,,,,
08,01,0653,2.40,1504,0.36,,,,
08,02,0742,2.48,1551,0.26,2250,1.51,,
08,03,0200,1.39,0829,2.53,1632,0.22,2311,1.54
08,04,0250,1.32,0913,2.56,1709,0.23,2333,1.58
08,05,0336,1.23,0954,2.55,1743,0.27,2356,1.62
08,06,0418,1.16,1033,2.51,1813,0.35,,
08,07,0018,1.67,0459,1.11,1109,2.42,1838,0.46
08,08,0038,1.72,0540,1.08,1144,2.30,1900,0.57
08,09,0058,1.78,0623,1.07,1217,2.14,1919,0.70
08,10,0121,1.85,0710,1.08,1253,1.94,1940,0.84
08,11,0150,1.92,0805,1.09,1333,1.72,1959,0.98
08,12,0225,1.99,0913,1.09,1438,1.48,2017,1.13
08,13,0309,2.06,1037,1.03,,,,
08,14,0402,2.14,1234,0.89,,,,
08,15,0501,2.24,1352,0.70,,,,
08,16,0603,2.36,1444,0.51,2206,1.56,,
08,17,0033,1.50,0702,2.51,1527,0.36,2224,1.62
08,18,0145,1.43,0758,2.65,1607,0.25,2248,1.67
08,19,0243,1.29,0851,2.76,1644,0.21,2316,1.73
08,20,0336,1.13,0942,2.82,1719,0.24,2344,1.81
08,21,0427,0.98,1033,2.78,1751,0.32,,
08,22,0011,1.91,0517,0.86,1124,2.66,1820,0.46
08,23,0038,2.03,0610,0.79,1215,2.44,1847,0.64
08,24,0103,2.14,0708,0.77,1309,2.15,1912,0.84
08,25,0132,2.24,0815,0.79,1416,1.83,1935,1.05
08,26,0207,2.29,0929,0.80,1543,1.53,1956,1.25
08,27,0256,2.31,1055,0.78,,,,
08,28,0409,2.31,1244,0.67,,,,
08,29,0534,2.32,1400,0.54,,,,
08,30,0645,2.37,1451,0.44,2219,1.66,,
08,31,0116,1.57,0740,2.42,1531,0.40,2223,1.68
09,01,0215,1.43,0827,2.47,1605,0.40,2235,1.72
09,02,0300,1.28,0909,2.49,1636,0.44,2248,1.78
09,03,0340,1.15,0948,2.48,1703,0.51,2301,1.86
09,04,0417,1.05,1025,2.43,1726,0.60,2315,1.94
09,05,0454,0.98,1100,2.33,1745,0.71,2331,2.03
09,06,0531,0.93,1135,2.20,1801,0.83,2351,2.11
09,07,0610,0.91,1210,2.04,1819,0.95,,
09,08,0013,2.19,0653,0.91,1249,1.86,1837,1.08
09,09,0039,2.24,0743,0.93,1340,1.66,1851,1.22
09,10,0108,2.27,0844,0.94,1508,1.47,1854,1.35
09,11,0145,2.28,1001,0.93,,,,
09,12,0240,2.28,1143,0.85,,,,
09,13,0411,2.30,1317,0.70,,,,
09,14,0536,2.38,1411,0.56,2137,1.76,,
09,15,0043,1.63,0647,2.51,1453,0.45,2147,1.82
09,16,0149,1.43,0748,2.64,1530,0.40,2206,1.90
09,17,0243,1.20,0843,2.73,1603,0.42,2226,2.00
09,18,0334,0.97,0936,2.73,1634,0.50,2245,2.14
09,19,0423,0.77,1029,2.64,1702,0.63,2304,2.30
09,20,0514,0.63,1123,2.46,1728,0.79,2328,2.45
09,21,0607,0.57,1220,2.22,1753,0.98,2356,2.55
09,22,0705,0.58,1323,1.95,1817,1.16,,
09,23,0028,2.59,0809,0.63,1434,1.69,1838,1.34
09,24,0104,2.55,0919,0.69,,,,
09,25,0149,2.46,1043,0.73,,,,
09,26,0311,2.33,1223,0.69,,,,
09,27,0518,2.27,1330,0.64,2141,1.82,,
09,28,0023,1.75,0636,2.29,1417,0.60,2134,1.84
09,29,0134,1.57,0732,2.32,1453,0.61,2139,1.88
09,30,0221,1.38,0818,2.34,1523,0.65,2144,1.95
10,01,0300,1.20,0901,2.34,1550,0.71,2151,2.04
10,02,0336,1.05,0941,2.31,1612,0.80,2203,2.15
10,03,0411,0.93,1020,2.24,1631,0.90,2219,2.26
10,04,0446,0.84,1058,2.15,1648,1.00,2238,2.36
10,05,0521,0.78,1137,2.03,1707,1.10,2258,2.45
10,06,0559,0.75,1219,1.90,1726,1.21,2321,2.51
10,07,0640,0.75,1307,1.76,1744,1.32,2346,2.53
10,08,0728,0.77,1413,1.63,1753,1.43,,
10,09,0015,2.52,0828,0.79,,,,
10,10,0052,2.47,0940,0.81,,,,
10,11,0147,2.40,1101,0.78,,,,
10,12,0323,2.33,1223,0.71,,,,
10,13,0513,2.35,1321,0.64,2046,1.91,,
10,14,0045,1.60,0632,2.43,1404,0.61,2059,2.00
10,15,0145,1.32,0737,2.50,1440,0.63,2113,2.13
10,16,0238,1.03,0835,2.51,1513,0.70,2126,2.30
10,17,0328,0.76,0932,2.45,1543,0.82,2145,2.50
10,18,0419,0.55,1032,2.32,1612,0.96,2211,2.68
10,19,0511,0.43,1134,2.15,1640,1.12,2241,2.79
10,20,0606,0.39,1237,1.96,1706,1.27,2313,2.83
10,21,0703,0.42,1338,1.77,1731,1.41,2347,2.78
10,22,0803,0.50,1447,1.63,1746,1.54,,
10,23,0024,2.66,0906,0.60,,,,
10,24,0108,2.48,1017,0.68,,,,
10,25,0219,2.29,1134,0.72,,,,
10,26,0444,2.16,1236,0.75,2040,1.90,,
10,27,0029,1.73,0610,2.12,1322,0.78,2042,1.95
10,28,0129,1.51,0711,2.10,1358,0.83,2042,2.02
10,29,0212,1.30,0802,2.08,1428,0.89,2045,2.12
10,30,0251,1.11,0850,2.05,1453,0.97,2057,2.25
10,31,0328,0.93,0936,2.01,1514,1.06,2112,2.38
11,01,0404,0.79,1021,1.96,1534,1.14,2130,2.50
11,02,0439,0.69,1106,1.90,1555,1.22,2151,2.60
11,03,0515,0.62,1151,1.82,1617,1.30,2215,2.68
11,04,0553,0.58,1237,1.75,1639,1.38,2241,2.71
11,05,0636,0.58,1330,1.67,1656,1.46,2311,2.70
11,06,0724,0.60,1433,1.61,1659,1.54,2346,2.65
11,07,0821,0.63,,,,,,
11,08,0030,2.56,0921,0.66,,,,
11,09,0128,2.43,1025,0.68,,,,
11,10,0255,2.30,1127,0.70,1937,1.88,2315,1.70
11,11,0448,2.23,1222,0.72,1949,1.99,,
11,12,0033,1.44,0613,2.20,1308,0.78,2002,2.13
11,13,0136,1.13,0726,2.17,1346,0.87,2015,2.32
11,14,0231,0.82,0833,2.11,1422,0.98,2034,2.53
11,15,0326,0.56,0942,2.02,1455,1.10,2101,2.73
11,16,0420,0.37,1051,1.93,1526,1.22,2132,2.87
11,17,0514,0.26,1152,1.83,1557,1.33,2207,2.92
11,18,0607,0.25,1247,1.73,1626,1.42,2243,2.89
11,19,0700,0.30,1342,1.65,1653,1.51,2321,2.78
11,20,0752,0.39,,,,,,
11,21,0001,2.62,0845,0.51,,,,
11,22,0044,2.42,0939,0.62,,,,
11,23,0137,2.21,1034,0.73,,,,
11,24,0308,2.01,1127,0.82,1933,1.86,2359,1.64
11,25,0511,1.86,1214,0.91,1931,1.94,,
11,26,0109,1.43,0638,1.77,1252,0.99,1938,2.05
11,27,0159,1.21,0744,1.72,1323,1.08,1951,2.19
11,28,0242,1.00,0845,1.69,1349,1.16,2006,2.33
11,29,0321,0.81,0941,1.67,1413,1.22,2025,2.47
11,30,0359,0.65,1032,1.66,1439,1.28,2047,2.60
12,01,0437,0.53,1117,1.65,1506,1.33,2115,2.70
12,02,0516,0.45,1201,1.63,1534,1.37,2146,2.76
12,03,0556,0.41,1245,1.61,1603,1.41,2221,2.78
12,04,0638,0.40,1332,1.58,1631,1.45,2259,2.75
12,05,0722,0.42,1424,1.57,1704,1.50,2341,2.67
12,06,0808,0.46,,,,,,
12,07,0029,2.55,0856,0.52,,,,
12,08,0124,2.38,0945,0.60,1752,1.73,2107,1.60
12,09,0236,2.19,1035,0.70,1819,1.85,2254,1.45
12,10,0418,2.00,1123,0.82,1841,2.00,,
12,11,0016,1.21,0555,1.84,1209,0.95,1901,2.19
12,12,0128,0.91,0728,1.73,1252,1.08,1925,2.41
12,13,0232,0.63,0859,1.67,1332,1.20,1954,2.61
12,14,0331,0.39,1015,1.64,1410,1.28,2029,2.76
12,15,0426,0.23,1112,1.62,1447,1.35,2107,2.84
12,16,0517,0.15,1200,1.60,1524,1.38,2148,2.85
12,17,0605,0.15,1244,1.57,1602,1.40,2229,2.78
12,18,0650,0.21,1327,1.55,1640,1.42,2309,2.67
12,19,0733,0.31,1411,1.54,1720,1.45,2349,2.51
12,20,0813,0.44,1459,1.55,1806,1.48,,
12,21,0027,2.33,0852,0.57,1556,1.59,1905,1.53
12,22,0106,2.12,0929,0.71,1655,1.66,2033,1.55
12,23,0148,1.89,1005,0.84,1736,1.75,2235,1.50
12,24,0256,1.65,1040,0.98,1805,1.86,,
12,25,0035,1.33,0533,1.45,1114,1.09,1828,2.00
12,26,0147,1.10,0737,1.38,1150,1.19,1848,2.15
12,27,0237,0.88,0905,1.39,1228,1.26,1912,2.30
12,28,0319,0.68,1004,1.43,1308,1.30,1942,2.45
12,29,0358,0.52,1045,1.47,1348,1.32,2016,2.58
12,30,0436,0.39,1121,1.49,1429,1.33,2053,2.68
12,31,0514,0.30,1156,1.51,1512,1.33,2133,2.74
